iter	Passed	Remaining
0	148	148212
1	149	74746
2	151	50235
3	152	37940
4	153	30590
5	154	25674
6	156	22263
7	158	19636
8	160	17715
9	162	16039
10	163	14665
11	164	13526
12	165	12564
13	166	11737
14	167	11013
15	168	10387
16	169	9825
17	171	9337
18	172	8929
19	173	8522
20	175	8164
21	176	7848
22	177	7547
23	178	7271
24	179	7016
25	181	6783
26	181	6557
27	182	6348
28	183	6152
29	184	5972
30	185	5813
31	187	5667
32	188	5526
33	189	5390
34	190	5260
35	191	5135
36	192	5020
37	194	4912
38	195	4808
39	196	4708
40	197	4611
41	198	4522
42	199	4443
43	201	4368
44	202	4290
45	203	4217
46	204	4147
47	205	4079
48	206	4013
49	207	3951
50	209	3890
51	210	3830
52	211	3774
53	212	3719
54	213	3668
55	214	3620
56	215	3572
57	217	3528
58	218	3482
59	219	3437
60	220	3394
61	221	3352
62	222	3311
63	223	3272
64	224	3233
65	225	3196
66	226	3160
67	227	3120
68	229	3098
69	230	3067
70	231	3033
71	232	3002
72	233	2971
73	234	2940
74	236	2911
75	237	2881
76	237	2852
77	238	2824
78	240	2798
79	241	2773
80	242	2748
81	243	2725
82	245	2716
83	247	2696
84	248	2669
85	249	2647
86	249	2623
87	250	2601
88	252	2579
89	253	2558
90	254	2537
91	255	2519
92	256	2499
93	257	2481
94	259	2472
95	260	2455
96	261	2437
97	262	2419
98	263	2400
99	264	2382
100	265	2363
101	266	2342
102	267	2327
103	268	2310
104	269	2293
105	270	2278
106	271	2263
107	272	2250
108	274	2239
109	275	2228
110	276	2213
111	277	2198
112	278	2184
113	279	2170
114	280	2156
115	281	2142
116	282	2130
117	283	2117
118	284	2104
119	285	2092
120	286	2080
121	287	2069
122	288	2055
123	290	2049
124	291	2038
125	292	2026
126	293	2014
127	293	2000
128	294	1989
129	295	1978
130	296	1968
131	297	1958
132	298	1948
133	299	1938
134	301	1929
135	302	1921
136	304	1916
137	305	1908
138	306	1898
139	307	1890
140	308	1880
141	309	1871
142	310	1861
143	311	1851
144	312	1842
145	313	1833
146	314	1825
147	315	1817
148	316	1809
149	318	1806
150	320	1801
151	321	1793
152	322	1785
153	323	1777
154	324	1769
155	325	1761
156	326	1754
157	327	1746
158	328	1739
159	329	1732
160	331	1724
161	332	1717
162	333	1714
163	335	1708
164	336	1701
165	337	1694
166	338	1687
167	339	1680
168	340	1673
169	341	1666
170	342	1660
171	343	1654
172	344	1648
173	345	1641
174	347	1637
175	349	1635
176	350	1629
177	351	1624
178	352	1618
179	354	1612
180	354	1605
181	355	1599
182	357	1594
183	358	1588
184	359	1582
185	360	1577
186	361	1572
187	362	1567
188	364	1563
189	365	1559
190	367	1554
191	368	1549
192	369	1544
193	370	1539
194	371	1534
195	372	1529
196	373	1524
197	375	1518
198	376	1513
199	377	1509
200	378	1506
201	379	1501
202	381	1496
203	382	1491
204	383	1486
205	384	1480
206	384	1474
207	385	1469
208	386	1464
209	387	1458
210	388	1453
211	389	1448
212	390	1444
213	391	1439
214	393	1435
215	394	1431
216	395	1427
217	396	1422
218	397	1418
219	399	1414
220	400	1410
221	401	1406
222	402	1403
223	403	1398
224	404	1394
225	405	1390
226	407	1386
227	408	1383
228	409	1379
229	410	1375
230	412	1371
231	413	1367
232	414	1363
233	415	1360
234	416	1356
235	417	1352
236	418	1348
237	419	1344
238	421	1341
239	422	1337
240	423	1333
241	424	1329
242	425	1326
243	426	1322
244	427	1317
245	428	1313
246	429	1309
247	430	1305
248	431	1301
249	432	1297
250	433	1294
251	434	1290
252	435	1286
253	437	1283
254	438	1282
255	440	1278
256	441	1275
257	442	1272
258	443	1268
259	444	1265
260	445	1261
261	446	1258
262	447	1254
263	448	1251
264	449	1247
265	450	1244
266	452	1242
267	453	1238
268	454	1236
269	455	1232
270	457	1229
271	458	1226
272	459	1222
273	460	1219
274	461	1216
275	462	1212
276	463	1209
277	464	1205
278	465	1203
279	466	1200
280	468	1197
281	469	1194
282	470	1191
283	471	1188
284	472	1185
285	473	1182
286	474	1178
287	475	1175
288	476	1172
289	477	1169
290	478	1166
291	479	1163
292	480	1160
293	482	1158
294	483	1155
295	484	1152
296	485	1149
297	486	1146
298	487	1143
299	488	1140
300	489	1137
301	490	1134
302	491	1131
303	493	1128
304	494	1126
305	495	1123
306	497	1121
307	498	1119
308	499	1116
309	500	1113
310	501	1110
311	502	1107
312	503	1104
313	504	1101
314	505	1099
315	506	1096
316	507	1093
317	508	1090
318	509	1087
319	510	1084
320	511	1082
321	512	1079
322	513	1076
323	514	1073
324	515	1071
325	516	1068
326	517	1065
327	519	1063
328	520	1060
329	521	1058
330	522	1055
331	523	1052
332	524	1049
333	525	1047
334	526	1045
335	527	1042
336	528	1040
337	529	1037
338	530	1034
339	531	1032
340	532	1029
341	533	1027
342	534	1024
343	535	1021
344	536	1019
345	537	1016
346	538	1013
347	539	1011
348	541	1009
349	542	1006
350	543	1004
351	544	1001
352	545	999
353	546	996
354	547	994
355	548	991
356	549	989
357	550	987
358	551	984
359	552	982
360	553	980
361	554	977
362	556	976
363	557	973
364	558	971
365	559	968
366	560	966
367	561	963
368	562	961
369	562	958
370	563	955
371	564	953
372	565	951
373	566	948
374	567	946
375	568	943
376	569	941
377	571	940
378	572	938
379	573	935
380	574	933
381	575	930
382	576	928
383	577	926
384	578	923
385	579	921
386	580	918
387	580	916
388	581	914
389	582	911
390	583	909
391	584	907
392	586	905
393	587	903
394	588	900
395	589	898
396	590	896
397	591	894
398	592	891
399	593	889
400	594	887
401	595	885
402	596	883
403	597	881
404	598	879
405	599	877
406	600	875
407	602	873
408	603	871
409	603	869
410	604	866
411	605	864
412	606	862
413	607	860
414	608	858
415	609	856
416	611	854
417	612	852
418	613	850
419	614	848
420	615	846
421	616	844
422	617	842
423	618	840
424	619	838
425	620	836
426	621	834
427	622	832
428	623	830
429	624	828
430	625	826
431	626	824
432	627	822
433	628	820
434	629	818
435	631	816
436	632	814
437	633	812
438	634	810
439	635	808
440	636	807
441	637	805
442	638	803
443	639	801
444	640	799
445	642	797
446	643	795
447	644	793
448	645	791
449	646	790
450	647	788
451	648	786
452	649	784
453	650	782
454	651	780
455	652	778
456	653	776
457	654	774
458	655	772
459	656	770
460	657	768
461	658	767
462	659	765
463	661	763
464	662	761
465	663	759
466	664	757
467	665	755
468	666	754
469	667	752
470	668	750
471	669	748
472	670	746
473	671	745
474	672	743
475	673	741
476	674	739
477	675	737
478	676	735
479	677	733
480	678	732
481	679	730
482	680	728
483	681	726
484	682	725
485	683	723
486	684	721
487	685	719
488	686	717
489	687	715
490	688	714
491	690	713
492	691	711
493	692	709
494	693	707
495	695	706
496	696	704
497	697	702
498	698	701
499	699	699
500	700	697
501	701	695
502	702	693
503	703	691
504	704	690
505	705	688
506	706	686
507	707	685
508	708	683
509	709	681
510	710	680
511	711	678
512	712	676
513	713	674
514	714	673
515	715	671
516	716	669
517	718	668
518	719	666
519	720	665
520	721	663
521	723	662
522	724	660
523	725	659
524	726	657
525	727	655
526	728	653
527	729	652
528	730	650
529	731	648
530	732	646
531	733	645
532	735	644
533	736	642
534	737	641
535	738	639
536	739	637
537	740	635
538	741	633
539	742	632
540	743	630
541	744	628
542	745	627
543	746	625
544	747	623
545	748	622
546	750	621
547	751	619
548	752	617
549	753	616
550	754	614
551	755	613
552	756	611
553	757	609
554	758	608
555	759	606
556	760	604
557	761	603
558	762	601
559	763	600
560	765	598
561	766	597
562	767	595
563	768	593
564	769	592
565	770	590
566	771	589
567	772	587
568	774	586
569	775	584
570	776	583
571	776	581
572	778	579
573	779	578
574	780	577
575	781	575
576	782	573
577	783	572
578	785	570
579	786	569
580	787	567
581	788	566
582	789	564
583	790	562
584	791	561
585	793	560
586	794	558
587	795	557
588	796	556
589	797	554
590	799	552
591	800	551
592	801	550
593	802	548
594	803	546
595	804	545
596	805	543
597	806	542
598	807	540
599	809	539
600	810	538
601	811	536
602	812	535
603	813	533
604	814	531
605	815	530
606	816	528
607	817	527
608	818	525
609	820	524
610	821	522
611	822	521
612	823	519
613	825	518
614	826	517
615	827	515
616	828	514
617	829	512
618	830	511
619	831	509
620	832	508
621	833	506
622	834	505
623	835	503
624	837	502
625	839	501
626	841	500
627	843	499
628	845	498
629	847	497
630	848	496
631	849	494
632	850	493
633	852	492
634	853	490
635	854	489
636	855	487
637	857	486
638	858	484
639	859	483
640	860	481
641	861	480
642	862	479
643	863	477
644	865	476
645	866	474
646	867	473
647	868	471
648	869	470
649	870	468
650	871	467
651	873	465
652	874	464
653	875	463
654	877	461
