iter	Passed	Remaining
0	157	157440
1	158	79307
2	160	53235
3	161	40161
4	162	32334
5	163	27134
6	164	23388
7	166	20591
8	167	18440
9	168	16705
10	169	15283
11	171	14086
12	172	13068
13	173	12200
14	174	11449
15	175	10793
16	176	10220
17	178	9728
18	179	9271
19	180	8851
20	181	8478
21	183	8141
22	184	7831
23	186	7569
24	187	7309
25	188	7060
26	189	6830
27	190	6618
28	191	6426
29	193	6247
30	194	6073
31	195	5911
32	196	5768
33	198	5626
34	199	5490
35	200	5361
36	201	5237
37	202	5119
38	203	5010
39	204	4906
40	205	4811
41	207	4726
42	208	4638
43	209	4553
44	210	4471
45	211	4394
46	213	4319
47	214	4247
48	215	4177
49	216	4112
50	217	4049
51	218	3987
52	220	3935
53	221	3881
54	222	3828
55	223	3773
56	225	3723
57	226	3676
58	227	3629
59	228	3581
60	229	3535
61	230	3491
62	231	3448
63	232	3407
64	234	3369
65	236	3340
66	237	3303
67	238	3267
68	239	3231
69	240	3196
70	241	3162
71	242	3128
72	243	3097
73	245	3066
74	245	3033
75	247	3004
76	248	2974
77	249	2946
78	250	2923
79	251	2897
80	253	2871
81	254	2843
82	254	2811
83	255	2787
84	256	2763
85	257	2740
86	259	2718
87	259	2694
88	261	2671
89	262	2650
90	263	2629
91	264	2610
92	265	2592
93	266	2571
94	267	2552
95	268	2532
96	269	2513
97	270	2493
98	271	2475
99	273	2457
100	274	2440
101	275	2423
102	276	2408
103	277	2393
104	279	2379
105	280	2366
106	281	2351
107	282	2335
108	283	2319
109	284	2305
110	285	2289
111	287	2275
112	288	2261
113	289	2247
114	290	2232
115	291	2219
116	292	2205
117	293	2194
118	295	2184
119	296	2172
120	297	2159
121	298	2146
122	299	2136
123	300	2124
124	301	2112
125	302	2101
126	303	2088
127	304	2077
128	306	2068
129	307	2057
130	309	2051
131	310	2041
132	311	2031
133	312	2020
134	313	2010
135	314	2000
136	316	1990
137	316	1979
138	317	1969
139	318	1959
140	319	1949
141	320	1937
142	321	1928
143	323	1921
144	324	1913
145	325	1904
146	326	1895
147	327	1886
148	328	1878
149	329	1869
150	330	1860
151	332	1852
152	333	1845
153	334	1836
154	335	1829
155	336	1821
156	337	1813
157	339	1807
158	340	1801
159	341	1793
160	342	1784
161	343	1776
162	344	1769
163	345	1761
164	346	1754
165	347	1747
166	348	1740
167	350	1733
168	351	1726
169	352	1719
170	353	1713
171	354	1706
172	355	1700
173	356	1693
174	357	1687
175	359	1680
176	360	1674
177	361	1668
178	362	1661
179	363	1655
180	364	1649
181	365	1642
182	366	1636
183	367	1631
184	369	1626
185	370	1620
186	371	1614
187	372	1608
188	373	1602
189	374	1596
190	375	1590
191	376	1584
192	377	1579
193	378	1574
194	379	1568
195	380	1562
196	381	1557
197	383	1552
198	384	1547
199	385	1542
200	386	1538
201	388	1533
202	389	1528
203	390	1522
204	391	1517
205	392	1512
206	393	1507
207	394	1502
208	395	1496
209	396	1491
210	397	1487
211	399	1484
212	400	1479
213	401	1474
214	402	1470
215	403	1465
216	404	1460
217	405	1455
218	406	1450
219	407	1445
220	408	1441
221	410	1436
222	411	1432
223	412	1428
224	413	1424
225	414	1420
226	415	1416
227	417	1412
228	418	1407
229	419	1404
230	420	1399
231	421	1395
232	422	1391
233	423	1387
234	424	1383
235	426	1379
236	427	1375
237	428	1371
238	429	1368
239	431	1365
240	432	1361
241	433	1357
242	434	1353
243	435	1349
244	436	1345
245	437	1341
246	438	1337
247	439	1333
248	440	1329
249	441	1325
250	443	1322
251	444	1319
252	445	1315
253	446	1312
254	448	1309
255	449	1305
256	450	1302
257	451	1298
258	452	1294
259	453	1291
260	454	1287
261	455	1284
262	457	1281
263	458	1278
264	459	1275
265	460	1271
266	462	1268
267	463	1264
268	464	1261
269	465	1257
270	466	1254
271	467	1250
272	468	1247
273	469	1243
274	470	1240
275	471	1238
276	473	1235
277	474	1232
278	475	1229
279	476	1226
280	477	1222
281	479	1219
282	480	1216
283	481	1212
284	482	1209
285	483	1205
286	484	1202
287	485	1199
288	486	1196
289	487	1194
290	489	1191
291	490	1188
292	491	1185
293	492	1182
294	493	1179
295	494	1176
296	495	1173
297	496	1170
298	498	1167
299	499	1164
300	500	1161
301	501	1159
302	503	1157
303	504	1154
304	505	1151
305	506	1148
306	507	1145
307	508	1143
308	509	1139
309	510	1136
310	511	1134
311	512	1131
312	514	1128
313	515	1125
314	516	1123
315	517	1121
316	519	1118
317	520	1115
318	521	1112
319	522	1110
320	523	1107
321	524	1104
322	525	1101
323	526	1099
324	527	1096
325	528	1093
326	529	1090
327	531	1088
328	532	1086
329	533	1083
330	534	1080
331	535	1078
332	536	1075
333	537	1072
334	539	1070
335	540	1068
336	541	1065
337	542	1062
338	543	1060
339	544	1057
340	546	1055
341	547	1053
342	548	1050
343	549	1047
344	550	1045
345	551	1042
346	552	1040
347	553	1037
348	555	1035
349	556	1032
350	557	1030
351	558	1028
352	559	1025
353	560	1023
354	562	1021
355	563	1018
356	564	1016
357	565	1014
358	566	1011
359	567	1009
360	569	1007
361	569	1004
362	571	1002
363	572	999
364	573	997
365	574	994
366	575	993
367	577	991
368	578	989
369	579	987
370	580	984
371	581	982
372	583	980
373	584	977
374	585	975
375	586	972
376	587	970
377	588	968
378	589	965
379	590	963
380	591	961
381	592	959
382	593	956
383	595	954
384	596	952
385	597	950
386	598	948
387	599	946
388	600	943
389	601	941
390	603	939
391	604	937
392	605	935
393	606	933
394	607	931
395	609	929
396	610	926
397	611	924
398	612	922
399	613	920
400	614	918
401	615	916
402	617	914
403	618	911
404	619	909
405	620	907
406	621	905
407	622	903
408	623	901
409	624	899
410	625	896
411	626	894
412	628	892
413	629	890
414	630	888
415	631	886
416	632	884
417	633	882
418	634	880
419	635	878
420	637	876
421	638	874
422	639	872
423	640	870
424	641	868
425	643	866
426	644	864
427	645	862
428	646	860
429	647	858
430	648	856
431	649	854
432	651	852
433	652	850
434	653	848
435	654	846
436	655	844
437	656	842
438	657	840
439	658	838
440	660	836
441	661	834
442	662	832
443	663	830
444	664	829
445	666	827
446	667	826
447	668	824
448	670	822
449	671	820
450	672	818
451	673	816
452	674	814
453	675	812
454	676	810
455	677	808
456	678	806
457	680	804
458	681	803
459	682	801
460	683	799
461	684	797
462	685	795
463	686	793
464	687	791
465	689	789
466	690	787
467	691	785
468	692	783
469	693	782
470	694	780
471	696	778
472	697	777
473	698	775
474	699	772
475	700	771
476	701	769
477	702	767
478	703	765
479	705	763
480	706	761
481	708	761
482	709	759
483	710	757
484	711	756
485	713	754
486	714	752
487	715	750
488	716	748
489	717	746
490	718	744
491	719	742
492	720	741
493	721	739
494	723	737
495	724	735
496	725	734
497	726	732
498	727	730
499	728	728
500	729	727
501	730	725
502	731	723
503	732	721
504	733	719
505	735	717
506	735	715
507	736	713
508	737	711
509	739	710
510	740	708
511	741	706
512	742	704
513	743	703
514	744	701
515	745	699
516	747	697
517	748	696
518	749	694
519	750	692
520	751	690
521	752	688
522	753	687
523	754	685
524	755	683
525	756	682
526	757	680
527	758	678
528	760	676
529	761	675
530	762	673
531	763	671
532	764	670
533	765	668
534	767	666
535	768	664
536	769	663
537	770	661
538	771	659
539	772	658
540	773	656
541	774	654
542	775	652
543	776	651
544	777	649
545	779	647
546	780	646
547	781	644
548	782	642
549	783	641
550	784	639
551	786	638
552	787	636
553	788	634
554	789	632
555	790	631
556	792	629
557	793	628
558	793	626
559	794	624
560	795	622
561	797	621
562	798	619
563	799	618
564	800	616
565	801	614
566	802	613
567	803	611
568	805	609
569	806	608
570	807	606
571	808	604
572	809	603
573	810	601
574	811	599
575	812	597
576	813	596
577	814	595
578	815	593
579	817	591
580	818	589
581	819	588
582	820	586
583	821	584
584	822	583
585	823	581
586	824	579
587	825	578
588	826	576
589	827	574
590	828	573
591	830	572
592	831	570
593	832	569
594	833	567
595	834	565
596	835	564
597	836	562
598	837	560
599	839	559
600	840	557
601	841	556
602	842	554
603	843	553
604	846	552
605	847	550
606	848	549
607	849	547
608	850	545
609	851	544
610	852	542
611	853	541
612	854	539
613	855	538
614	856	536
615	858	534
616	859	533
617	860	532
618	861	530
619	863	528
620	864	527
621	865	525
622	866	524
623	867	522
624	868	521
625	869	519
626	870	517
627	871	516
628	872	514
629	874	513
630	875	511
631	876	510
632	877	508
633	878	507
634	879	505
635	880	504
636	882	502
637	883	501
638	884	499
639	885	497
640	886	496
